,0
2195,math
2196,math
2197,math
2198,math
2199,math
2200,math
2201,sci_nat
2202,sci_nat
2203,sci_nat
2204,autre
2205,math
2206,math
2207,math
2208,math
2209,sci_nat
2210,math
2211,math
2212,autre
2213,autre
2214,ing_info
2215,math
2216,math
2217,math
2218,autre
2219,math
2220,math
2221,math
2222,math
2223,math
2224,math
2225,math
2226,math
2227,autre
2228,autre
2229,math
2230,math
2231,math
2232,sci_nat
2233,autre
2234,autre
2235,math
2236,math
2237,math
2238,autre
2239,math
2240,autre
2241,math
2242,math
2243,sci_nat
2244,autre
2245,math
2246,math
2247,math
2248,math
2249,autre
2250,autre
2251,autre
2252,autre
2253,math
2254,math
2255,autre
2256,math
2257,math
2258,autre
2259,math
2260,autre
2261,math
2262,math
2263,math
2264,math
2265,autre
2266,autre
2267,ing_info
2268,math
2269,math
2270,math
2271,math
2272,math
2273,math
2274,math
2275,math
2276,autre
2277,sci_nat
2278,autre
2279,math
2280,math
2281,math
2282,math
2283,math
2284,autre
2285,math
2286,autre
2287,math
2288,autre
2289,math
2290,math
2291,math
2292,autre
2293,autre
2294,math
2295,autre
2296,autre
2297,autre
2298,math
2299,math
2300,math
2301,autre
2302,math
2303,math
2304,math
2305,autre
2306,math
2307,autre
2308,math
2309,math
2310,math
2311,math
2312,math
2313,math
2314,math
2315,math
2316,math
2317,math
2318,math
2319,math
2320,math
2321,math
2322,math
2323,autre
2324,math
2325,math
2326,math
2327,math
2328,autre
2329,autre
2330,autre
2331,autre
2332,autre
2333,math
2334,autre
2335,math
2336,math
2337,math
2338,math
2339,math
2340,math
2341,autre
2342,math
2343,math
2344,math
2345,math
2346,math
2347,math
2348,math
2349,math
2350,autre
2351,math
2352,autre
2353,autre
2354,math
2355,math
2356,math
2357,math
2358,math
2359,math
2360,math
2361,math
2362,math
2363,math
2364,math
2365,math
2366,autre
2367,math
2368,math
2369,math
2370,math
2371,autre
2372,math
2373,math
2374,math
2375,math
2376,ing_info
2377,math
2378,math
2379,math
2380,math
2381,math
2382,math
2383,sci_nat
2384,math
2385,autre
2386,math
2387,math
2388,math
2389,math
2390,math
2391,math
2392,math
2393,math
2394,autre
2395,sci_nat
2396,math
2397,math
2398,math
2399,math
2400,math
2401,math
2402,math
2403,autre
2404,math
2405,ing_info
2406,math
2407,math
2408,ing_info
2409,autre
2410,sci_nat
2411,math
2412,autre
2413,autre
2414,math
2415,math
2416,math
2417,math
2418,math
2419,autre
2420,math
2421,math
2422,math
2423,math
2424,math
2425,math
2426,math
2427,math
2428,sci_nat
2429,autre
2430,math
2431,math
2432,math
2433,math
2434,phylo
2435,math
2436,phylo
2437,autre
2438,sci_nat
2439,math
2440,autre
2441,math
2442,math
2443,autre
2444,math
2445,math
2446,math
2447,autre
2448,math
2449,math
2450,autre
2451,math
2452,math
2453,autre
2454,autre
2455,math
2456,autre
2457,autre
2458,sci_hum
2459,autre
2460,autre
2461,math
2462,math
2463,math
2464,math
2465,math
2466,math
2467,autre
2468,autre
2469,autre
2470,autre
2471,autre
2472,autre
2473,autre
2474,autre
2475,autre
2476,autre
2477,autre
2478,autre
2479,autre
2480,autre
2481,autre
2482,autre
2483,math
2484,math
2485,math
2486,math
2487,autre
2488,math
2489,autre
2490,autre
2491,autre
2492,math
2493,autre
2494,sci_nat
2495,math
2496,math
2497,math
2498,sci_hum
2499,math
2500,math
2501,math
2502,math
2503,math
2504,math
2505,math
2506,math
2507,sci_nat
2508,autre
2509,sci_nat
2510,math
2511,math
2512,autre
2513,math
2514,math
2515,sci_nat
2516,math
2517,math
2518,sci_nat
2519,math
2520,math
2521,math
2522,math
2523,autre
2524,autre
2525,autre
2526,autre
2527,autre
2528,autre
2529,math
2530,autre
2531,autre
2532,autre
2533,math
2534,autre
2535,math
2536,autre
2537,autre
2538,autre
2539,sci_nat
2540,sci_nat
2541,math
2542,math
2543,sci_nat
2544,autre
2545,math
2546,autre
2547,math
2548,math
2549,math
2550,math
2551,math
2552,math
2553,math
2554,math
2555,math
2556,math
2557,math
2558,autre
2559,autre
2560,math
2561,math
2562,math
2563,ing_info
2564,sci_nat
2565,math
2566,autre
2567,autre
2568,math
2569,math
2570,math
2571,math
2572,math
2573,math
2574,math
2575,math
2576,math
2577,math
2578,math
